"WALKING" "WALKING_UPSTAIRS" "WALKING_DOWNSTAIRS" "SITTING" "STANDING" "LAYING"
"0.277330758736842" "0.255461689622641" "0.289188320408163" "0.261237565425532" "0.278917629056604" "0.221598243940000"
"0.276426586440678" "0.247164790395833" "0.277615348063830" "0.277087351739130" "0.277911472222222" "0.281373403958333"
"0.275567462068966" "0.260819873067797" "0.292423484693878" "0.257197599134615" "0.280046513278689" "0.275516852741935"
"0.278582015166667" "0.270876696730769" "0.279965329555556" "0.271538279920000" "0.280499745892857" "0.263559214981481"
"0.277842346250000" "0.268459469914894" "0.293543927127660" "0.273694139545455" "0.282544390892857" "0.278334325576923"
"0.283658868070175" "0.268229355098039" "0.277045258145833" "0.276778487454545" "0.280346248596491" "0.248656520140351"
"0.275592961754386" "0.248706923078431" "0.280307080000000" "0.284674637291667" "0.282723539433962" "0.250176694038462"
"0.274686310000000" "0.258880152048781" "0.283484089210526" "0.267491472934783" "0.279620986111111" "0.261254282907407"
"0.278502842115385" "0.262436475714286" "0.295923445000000" "0.248326743540000" "0.282310057333333" "0.259195536800000"
"0.278574076603774" "0.267121853404255" "0.290401594315789" "0.270612056481481" "0.276650300681818" "0.280230574137931"
"0.271821892881356" "0.263775859277778" "0.291605631956522" "0.276590197358491" "0.277715562765957" "0.280592970877193"
"0.277128665600000" "0.272970338653846" "0.281521097391304" "0.275007224901961" "0.277405834918033" "0.260113433000000"
"0.275883130350877" "0.258203939581818" "0.294907553404255" "0.274328499591837" "0.277758431052632" "0.276716360483871"
"0.271959598644068" "0.262421066129630" "0.293422115555556" "0.279990577037037" "0.280545613833333" "0.233275439803922"
"0.273899207962963" "0.270187595833333" "0.280198851190476" "0.272903379796610" "0.278915803962264" "0.289475652500000"
"0.276023564509804" "0.255986102627451" "0.295586802191489" "0.280768574492754" "0.283497402948718" "0.274227162571429"
"0.272341855245902" "0.252604768583333" "0.293918283260870" "0.277357019687500" "0.277942503333333" "0.269780085577465"
"0.273887758571429" "0.265401201896552" "0.288439468909091" "0.277270018771930" "0.278458805890411" "0.274691576923077"
"0.273931172307692" "0.242118808925000" "0.262688053871795" "0.273830316164384" "0.278172260000000" "0.272653733493976"
"0.272589336470588" "0.252098317156863" "0.296144421355556" "0.278045439090909" "0.278076904657534" "0.239507882205882"
"0.279183526730769" "0.265194544680851" "0.301461019600000" "0.277539616823529" "0.276952242584270" "0.271325472455556"
"0.278864590000000" "0.248391534566667" "0.284458963861111" "0.273583822709677" "0.279053861587302" "0.279959721194444"
"0.273211884237288" "0.249995171031373" "0.289897411148148" "0.273351251617647" "0.277899323235294" "0.274038007986111"
"0.276980816034483" "0.269881106779661" "0.288631208909091" "0.273475690147059" "0.280348883913043" "0.272850494930556"
"0.278992759054054" "0.277995411384615" "0.291329666206897" "0.278541482461538" "0.278013701621622" "0.250791828613699"
"0.279264443728814" "0.272691394545455" "0.279284582800000" "0.258243530166667" "0.281127035405405" "0.271645864540789"
"0.276849485438596" "0.265770253921569" "0.297544187500000" "0.273941302571429" "0.279566921625000" "0.274102492432432"
"0.281228223888889" "0.262005841764706" "0.293642076521739" "0.276977629444444" "0.277795069113924" "0.275913482500000"
"0.271999916792453" "0.265423066877551" "0.293140441083333" "0.277179977500000" "0.277965065846154" "0.287295196811594"
"0.276406758000000" "0.271415642261538" "0.283190646967742" "0.268336081379032" "0.277112699152542" "0.281033900571429"
